station,degree,trafic,line
LIEGE,1,1712165,13
BEL AIR,1,2319026,6
GARIBALDI,1,3127029,13
GLACIERE,1,4933269,6
PORTE DE LA CHAPELLE,1,2905144,12
BOISSIERE,1,2150445,6
BREGUET-SABIN,1,2038531,5
CITE,1,2317889,4
PONT MARIE,1,1624879,7
CHATEAU DE VINCENNES,1,5122469,1
CARREFOUR PLEYEL,1,2829368,13
SAINT-DENIS-PORTE DE PARIS,1,2983942,13
PIERRE CURIE,1,1404039,7
ODEON,2,6156948,10
SEVRES-BABYLONE,2,5540265,12
CHARONNE,1,4047046,9
WAGRAM,1,2617716,3
SAINT MANDE,1,1895590,1
GRANDS BOULEVARDS,1,7092775,9
PLACE MONGE,1,3057167,7
LES HALLES,1,15347160,4
SAINT-MARCEL,1,1853989,5
NATIONALE,1,2710907,6
QUAI DE LA GARE,1,3420407,6
CHEVALERET,1,3058367,6
DAUMESNIL,2,9751180,8
SAINT-SEBASTIEN-FROISSART,1,1783783,8
COMMERCE,1,2814912,8
MIROMESNIL,2,5916541,13
STALINGRAD,3,7588899,7
MALESHERBES,1,2623165,3
ALMA-MARCEAU,1,4060044,9
CRETEIL-PREFECTURE,1,4349228,8
CHATEAU D'EAU,1,4059164,4
LIBERTE,1,2557299,8
MONTPARNASSE-BIENVENUE,4,31919734,13
GARE DE L'EST,3,19989528,7
PORTE DE VERSAILLES,1,6238822,12
COURCELLES,1,2650620,2
MAIRIE DE CLICHY,1,6987958,13
BELLEVILLE,2,11558246,11
LES AGNETTES,1,2368284,13
PORTE DE MONTREUIL,1,4862314,9
LAUMIERE,1,4726950,5
VOLTAIRE,1,5341865,9
PORTE DE SAINT-CLOUD,1,5284078,9
HOTEL DE VILLE,2,11953352,11
LOURMEL,1,2483440,8
VILLIERS,2,6309746,3
REUILLY-DIDEROT,2,5662974,8
MARX DORMOY,1,3753736,12
HOCHE,1,5046958,5
LES GOBELINS,1,3835783,7
LE PELETIER,1,2271055,7
